# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov 22 06:52:23 2019
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
loc_rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,st_mass,st_masserr1,st_masserr2,st_masslim
827,HD 72892,b,1,39.47500000,0.00400000,-0.00400000,0,0.228000,0.008000,-0.008000,0,0.423000,0.006000,-0.006000,0,,,,,5.45000,0.37000,-0.37000,0,Msini,1.02,0.05,-0.05,0
828,HD 73267,b,1,1245.36000000,2.81000000,-2.81000000,0,2.187000,0.016000,-0.016000,0,0.230000,0.014000,-0.014000,0,,,,0,3.09700,0.04400,-0.04300,0,Msini,0.90,0.02,-0.02,0
829,HD 73526,b,2,188.30000000,0.90000000,-0.90000000,0,0.650000,0.010000,-0.010000,0,0.190000,0.050000,-0.050000,0,,,,0,3.08000,0.31000,-0.31000,0,Msini,1.14,0.15,-0.15,0
830,HD 73526,c,2,379.10000000,0.50000000,-0.50000000,0,1.030000,0.020000,-0.020000,0,0.280000,0.050000,-0.050000,0,,,,,2.25000,0.13000,-0.13000,0,Msini,1.14,0.15,-0.15,0
831,HD 73534,b,1,1750.00000000,24.00000000,-24.00000000,0,2.990000,0.150000,-0.150000,0,0.126000,0.057000,-0.057000,0,,,,0,1.11200,0.05900,-0.05900,0,Msini,1.16,,,0
832,HD 74156,b,2,51.64500000,0.00300000,-0.00300000,0,0.292000,0.004000,-0.004000,0,0.627000,0.009000,-0.009000,0,,,,,1.80000,0.06000,-0.06000,0,Msini,1.24,0.04,-0.04,0
833,HD 74156,c,2,2473.00000000,13.00000000,-13.00000000,0,3.850000,0.054000,-0.054000,0,0.432000,0.013000,-0.013000,0,,,,,8.06000,0.37000,-0.37000,0,Msini,1.24,0.04,-0.04,0
834,HD 7449,b,1,1255.50000000,5.10000000,-5.10000000,0,2.380000,0.040000,-0.040000,0,0.920000,0.030000,-0.030000,0,,,,0,0.50800,0.11100,-0.11100,0,Msini,1.05,,,0
835,HD 75289,b,1,3.50927000,0.00006400,-0.00006400,0,0.050000,0.000000,0.000000,0,0.030000,0.030000,-0.030000,0,,,,0,0.49000,0.03000,-0.03000,0,Msini,1.29,0.10,-0.10,0
836,HD 75784,b,2,341.20000000,1.10000000,-1.10000000,0,1.032000,0.066000,-0.066000,0,0.097000,0.063000,-0.063000,0,,,,0,1.00000,0.14000,-0.14000,0,Msini,1.26,,,0
837,HD 75784,c,2,7900.00000000,2000.00000000,-2000.00000000,0,8.400000,1.400000,-1.400000,0,0.489000,0.092000,-0.092000,0,,,,0,5.64000,0.72000,-0.72000,0,Msini,1.26,,,0
838,HD 75898,b,1,422.90000000,0.29000000,-0.29000000,0,1.191000,0.073000,-0.073000,0,0.110000,0.010000,-0.010000,0,,,,0,2.71000,0.36000,-0.36000,0,Msini,1.26,0.23,-0.23,0
839,HD 76700,b,1,3.97097000,0.00023000,-0.00023000,0,0.050000,0.000000,0.000000,0,0.090000,0.080000,-0.080000,0,,,,0,0.21000,0.03000,-0.03000,0,Msini,0.99,0.17,-0.17,0
840,HD 76920,b,1,415.40000000,0.20000000,-0.20000000,0,1.149000,0.017000,-0.017000,0,0.856000,0.009000,-0.009000,0,,,,0,3.93000,0.14000,-0.15000,0,Msini,1.17,0.20,-0.20,0
841,HD 77338,b,1,5.73610000,0.00150000,-0.00150000,0,0.060000,0.000000,0.000000,0,0.090000,0.220000,-0.220000,0,,,,0,0.06000,0.02000,-0.02000,0,Msini,1.37,0.32,-0.32,0
842,HD 7924,b,3,5.39792000,0.00025000,-0.00025000,0,0.060000,0.000000,0.000000,0,0.060000,0.050000,-0.050000,0,,,,0,0.02000,0.00000,0.00000,0,Msini,0.65,0.05,-0.05,0
843,HD 7924,c,3,15.29900000,0.00320000,-0.00330000,0,0.113400,0.001300,-0.001400,0,0.098000,0.096000,-0.069000,0,,,,,0.02473,0.00230,-0.00223,0,Msini,0.65,0.05,-0.05,0
844,HD 7924,d,3,24.45100000,0.01500000,-0.01700000,0,0.155100,0.001800,-0.001900,0,0.210000,0.130000,-0.120000,0,,,,,0.02026,0.00249,-0.00245,0,Msini,0.65,0.05,-0.05,0
845,HD 79498,b,1,1807.00000000,15.00000000,-15.00000000,0,2.980000,0.150000,-0.150000,0,0.575000,0.023000,-0.023000,0,,,,0,1.34000,0.21000,-0.21000,0,Msini,1.08,0.15,-0.15,0
846,HD 80606,b,1,111.43670000,0.00040000,-0.00040000,0,,,,0,0.930000,0.000000,0.000000,0,89.290,0.020,-0.020,0,4.38000,0.74000,-0.74000,0,Mass,1.15,0.27,-0.27,0
847,HD 81040,b,1,1001.70001000,7.00000000,-7.00000000,0,1.940000,0.030000,-0.030000,0,0.530000,0.040000,-0.040000,0,,,,0,7.27000,0.98000,-0.98000,0,Msini,1.05,0.19,-0.19,0
848,HD 81688,b,1,184.02000000,0.18000000,-0.18000000,0,0.810000,,,0,0.000000,,,0,,,,,2.70000,,,0,Msini,2.10,,,0
849,HD 82886,b,1,705.00000000,34.00000000,-34.00000000,0,1.580000,0.080000,-0.080000,0,0.070000,0.170000,-0.170000,0,,,,0,2.33000,0.33000,-0.33000,0,Msini,2.53,0.46,-0.46,0
850,HD 82943,b,2,441.47000000,0.35000000,-0.35000000,0,1.183060,0.000620,-0.000620,0,0.162000,0.036000,-0.036000,0,90.000,,,0,1.68100,0.02800,-0.02800,0,Mass,1.20,,,0
851,HD 82943,c,2,220.07800000,0.05100000,-0.05100000,0,0.743450,0.000120,-0.000120,0,0.366300,0.009700,-0.009700,0,90.000,,,0,1.95900,0.04700,-0.04700,0,Mass,1.20,,,0
852,HD 8326,b,1,158.99100000,1.44000000,-1.44000000,0,0.533000,0.011000,-0.011000,0,0.200000,0.110000,-0.110000,0,,,,0,0.20955,0.06167,-0.06167,0,Msini,0.80,0.05,-0.05,0
853,HD 83443,b,1,2.98570000,0.00005700,-0.00005700,0,0.040000,0.000000,0.000000,0,0.010000,0.010000,-0.010000,0,,,,0,0.34000,0.02000,-0.02000,0,Msini,0.79,0.07,-0.07,0
854,HD 8535,b,1,1313.00000000,28.00000000,-28.00000000,0,2.450000,0.040000,-0.060000,0,0.150000,0.090000,-0.050000,0,,,,,0.68000,0.07000,-0.04000,0,Msini,1.13,,,0
855,HD 85390,b,1,799.52000000,2.41000000,-2.41000000,0,1.373000,0.035000,-0.035000,0,0.500000,0.050000,-0.050000,0,,,,0,0.09900,0.01000,-0.01000,0,Msini,0.76,,,0
856,HD 85512,b,1,58.43000000,0.13000000,-0.13000000,0,0.260000,0.000000,0.000000,0,0.110000,0.100000,-0.100000,0,,,,0,0.01000,0.00000,0.00000,0,Msini,0.43,0.10,-0.10,0
857,HD 8574,b,1,227.00000000,0.20000000,-0.20000000,0,0.760000,0.010000,-0.010000,0,0.300000,0.030000,-0.030000,0,,,,0,2.03000,0.14000,-0.14000,0,Msini,1.34,0.12,-0.12,0
858,HD 86081,b,1,2.13784310,0.00000310,-0.00000310,0,0.034600,0.002700,-0.002700,0,0.011900,0.004700,-0.004700,0,,,,0,1.48000,0.23000,-0.23000,0,Msini,1.21,0.28,-0.28,0
859,HD 86226,b,1,1695.00000000,58.00000000,-58.00000000,0,2.840000,0.060000,-0.060000,0,0.150000,0.090000,-0.090000,0,,,,,0.92000,0.10000,-0.10000,0,Msini,1.06,0.03,-0.03,0
860,HD 86264,b,1,1475.00000000,55.00000000,-55.00000000,0,2.860000,0.070000,-0.070000,0,0.700000,0.200000,-0.200000,0,,,,,7.00000,1.60000,-1.60000,0,Msini,1.42,0.05,-0.05,0
861,HD 8673,b,1,1634.00000000,17.00000000,-17.00000000,0,3.020000,0.150000,-0.150000,0,0.723000,0.016000,-0.016000,0,,,,0,14.20000,1.60000,-1.60000,0,Msini,1.35,0.10,-0.10,0
862,HD 86950,b,1,1270.00000000,57.00000000,-57.00000000,0,2.720000,0.080000,-0.080000,0,0.170000,0.160000,-0.160000,0,,,,,3.60000,0.70000,-0.70000,0,Msini,1.66,0.25,-0.25,0
863,HD 87646,b,1,13.48100000,0.00100000,-0.00100000,0,0.117000,0.003000,-0.003000,0,0.050000,0.020000,-0.020000,0,,,,,12.40000,0.70000,-0.70000,0,Msini,1.12,0.09,-0.09,0
864,HD 87883,b,1,2754.00000000,87.00000000,-87.00000000,0,3.580000,0.100000,-0.100000,0,0.530000,0.120000,-0.120000,0,,,,0,1.54000,0.26000,-0.26000,0,Msini,0.66,0.09,-0.09,0
865,HD 88133,b,1,3.41488400,0.00003000,-0.00003000,0,0.047900,0.003300,-0.003300,0,0.031000,0.021000,-0.021000,0,,,,0,0.28450,0.00630,-0.00630,0,Msini,1.26,,,0
866,HD 89307,b,1,2166.00000000,38.00000000,-38.00000000,0,3.270000,0.070000,-0.070000,0,0.200000,0.050000,-0.050000,0,,,,0,2.11000,0.21000,-0.21000,0,Msini,1.27,0.12,-0.12,0
867,HD 89345,b,1,11.81430000,0.00020000,-0.00020000,0,0.106600,0.001200,-0.001400,0,0.220000,0.095000,-0.130000,0,87.210,0.430,-0.220,0,0.11000,0.01700,-0.01800,0,Mass,1.16,0.04,-0.04,0
868,HD 89744,b,1,256.78000000,0.02000000,-0.02000000,0,0.917000,0.009000,-0.009000,0,0.677000,0.003000,-0.003000,0,,,,0,8.35000,0.18000,-0.18000,0,Msini,1.86,,,0
869,HD 90156,b,1,49.77000000,0.07000000,-0.07000000,0,0.250000,0.004000,-0.004000,0,0.310000,0.100000,-0.100000,0,,,,,0.05700,0.00500,-0.00500,0,Msini,0.84,,,0
870,HD 9174,b,1,1179.00000000,34.00000000,-34.00000000,0,2.200000,0.090000,-0.090000,0,0.120000,0.050000,-0.050000,0,,,,,1.11000,0.14000,-0.14000,0,Msini,1.03,0.05,-0.05,0
871,HD 92788,b,2,325.80300000,0.03652500,-0.03652500,0,0.970000,0.020000,-0.020000,0,0.350000,0.004000,-0.005000,0,,,,0,3.76000,0.16000,-0.15000,0,Msini,1.15,0.07,-0.07,0
872,HD 92788,c,2,11611.29750000,5055.06000000,-905.82000000,0,10.500000,2.900000,-0.550000,0,0.460000,0.120000,-0.030000,0,,,,0,3.67000,0.30000,-0.25000,0,Msini,1.15,0.07,-0.07,0
873,HD 92987,b,1,10354.83750000,551.52750000,-270.28500000,0,9.620000,0.360000,-0.260000,0,0.210000,0.020000,-0.010000,0,,,,0,16.88000,0.69000,-0.65000,0,Msini,1.08,0.06,-0.06,0
874,HD 93083,b,1,143.58000000,0.60000000,-0.60000000,0,0.477000,,,0,0.140000,0.030000,-0.030000,0,,,,,0.37000,,,0,Msini,0.70,0.04,-0.04,0
875,HD 9446,b,2,30.05200000,0.02700000,-0.02700000,0,0.189000,0.006000,-0.006000,0,0.200000,0.060000,-0.060000,0,,,,0,0.70000,0.06000,-0.06000,0,Msini,1.00,0.10,-0.10,0
876,HD 9446,c,2,192.90000000,0.90000000,-0.90000000,0,0.654000,0.022000,-0.022000,0,0.060000,0.060000,-0.060000,0,,,,0,1.82000,0.17000,-0.17000,0,Msini,1.00,0.10,-0.10,0
877,HD 94834,b,1,1576.00000000,76.00000000,-76.00000000,0,2.740000,0.180000,-0.180000,0,0.140000,0.100000,-0.100000,0,,,,0,1.26000,0.17000,-0.17000,0,Msini,1.11,,,0
878,HD 95086,b,1,,,,,55.700000,2.500000,-2.500000,0,,,,,,,,,5.00000,2.00000,-2.00000,0,Mass,1.60,,,0
879,HD 95089,b,2,464.40000000,3.80000000,-3.80000000,0,1.360000,0.130000,-0.130000,0,0.119000,0.072000,-0.072000,0,,,,0,1.26000,0.08500,-0.08500,0,Msini,1.54,,,0
880,HD 95089,c,2,1785.00000000,32.00000000,-32.00000000,0,3.330000,0.310000,-0.310000,0,0.284000,0.042000,-0.042000,0,,,,0,3.45000,0.14000,-0.14000,0,Msini,1.54,,,0
881,HD 95127,b,1,482.00000000,5.00000000,-5.00000000,0,1.280000,0.080000,-0.080000,0,0.110000,0.100000,-0.100000,0,,,,0,10.63000,8.06000,-8.06000,0,Msini,3.70,4.16,-4.16,0
882,HD 95872,b,1,4375.00000000,170.00000000,-170.00000000,0,5.150000,0.160000,-0.160000,0,0.060000,0.040000,-0.040000,0,,,,0,3.74000,0.93000,-0.93000,0,Msini,0.70,0.25,-0.25,0
883,HD 96063,b,1,362.50000000,2.20000000,-2.20000000,0,1.110000,0.140000,-0.140000,0,0.170000,0.110000,-0.110000,0,,,,0,1.27000,0.27000,-0.27000,0,Msini,1.37,,,0
884,HD 96127,b,1,647.29999000,17.00000000,-17.00000000,0,1.420000,0.130000,-0.130000,0,0.300000,0.100000,-0.100000,0,,,,0,20.96000,12.99000,-12.99000,0,Msini,10.94,10.02,-10.02,0
885,HD 96167,b,1,498.04000000,0.76000000,-0.76000000,0,1.332000,0.098000,-0.098000,0,0.685000,0.029000,-0.029000,0,,,,0,0.71700,0.04000,-0.04000,0,Msini,1.27,,,0
886,HD 97048,b,1,,,,0,130.000000,,,0,,,,0,40.000,,,0,2.50000,0.50000,-0.50000,0,Mass,2.40,,,0
887,HD 97658,b,1,9.49090000,0.00160000,-0.00160000,0,,,,0,0.060000,0.050000,-0.050000,0,89.450,0.400,-0.400,0,0.03000,0.00000,0.00000,0,Mass,0.89,0.15,-0.15,0
888,HD 98219,b,1,433.80000000,2.00000000,-2.00000000,0,1.260000,0.120000,-0.120000,0,0.079000,0.040000,-0.040000,0,,,,0,1.96400,0.09900,-0.09900,0,Msini,1.41,,,0
889,HD 98649,b,1,6022.97250000,412.73250000,-255.67500000,0,6.570000,0.310000,-0.230000,0,0.860000,0.040000,-0.020000,0,,,,0,6.79000,0.53000,-0.31000,0,Msini,1.03,0.06,-0.06,0
890,HD 98736,b,1,968.80000000,2.20000000,-2.20000000,0,1.864000,0.091000,-0.091000,0,0.226000,0.064000,-0.064000,0,,,,0,2.33000,0.78000,-0.78000,0,Msini,0.92,0.13,-0.13,0
891,HD 99109,b,1,439.29999000,5.60000000,-5.60000000,0,1.110000,0.020000,-0.020000,0,0.090000,0.120000,-0.120000,0,,,,0,0.44000,0.08000,-0.08000,0,Msini,0.76,0.10,-0.10,0
892,HD 99492,b,1,17.04310000,0.00470000,-0.00470000,0,0.120000,0.000000,0.000000,0,0.250000,0.090000,-0.090000,0,,,,0,0.07000,0.05000,-0.05000,0,Msini,0.48,0.51,-0.51,0
893,HD 99706,b,2,841.00000000,32.00000000,-32.00000000,0,1.980000,0.140000,-0.140000,0,0.250000,0.160000,-0.160000,0,,,,0,1.23000,0.19000,-0.19000,0,Msini,1.46,,,0
894,HD 99706,c,2,1278.00000000,151.00000000,-198.00000000,0,,,,0,0.411000,0.231000,-0.178000,0,,,,0,5.69000,1.43000,-0.96000,0,Msini,1.46,,,0
895,HIP 105854,b,1,184.20000000,0.50000000,-0.50000000,0,0.810000,0.030000,-0.030000,0,0.020000,0.030000,-0.030000,0,,,,,8.20000,0.20000,-0.20000,0,Msini,2.10,0.10,-0.10,0
896,HIP 107773,b,1,144.30000000,0.50000000,-0.50000000,0,0.720000,0.030000,-0.030000,0,0.090000,0.060000,-0.060000,0,,,,,1.98000,0.21000,-0.21000,0,Msini,2.42,0.27,-0.27,0
897,HIP 109384,b,1,499.48000000,0.32000000,-0.32000000,0,1.134000,0.029000,-0.029000,0,0.549000,0.003000,-0.003000,0,,,,,1.56000,0.08000,-0.08000,0,Msini,0.78,0.06,-0.06,0
898,HIP 109600,b,1,232.08000000,0.15000000,-0.15000000,0,0.706000,0.016000,-0.016000,0,0.163000,0.006000,-0.006000,0,,,,,2.68000,0.12000,-0.12000,0,Msini,0.87,0.06,-0.06,0
899,HIP 116454,b,1,9.12050000,0.00050000,-0.00050000,0,,,,0,0.200000,0.070000,-0.070000,0,88.430,0.400,-0.400,0,0.04000,0.01000,-0.01000,0,Mass,0.81,0.11,-0.11,0
900,HIP 12961,b,1,57.43500000,0.04200000,-0.04200000,0,0.250000,0.010000,-0.010000,0,0.170000,0.030000,-0.030000,0,,,,0,0.36000,0.07000,-0.07000,0,Msini,0.69,0.19,-0.19,0
901,HIP 14810,b,3,6.67389200,0.00000800,-0.00000800,0,0.069600,0.004400,-0.004400,0,0.143990,0.000870,-0.000870,0,,,,0,3.90000,0.49000,-0.49000,0,Msini,1.01,0.19,-0.19,0
902,HIP 14810,c,3,147.74700000,0.02900000,-0.02900000,0,0.549000,0.034000,-0.034000,0,0.156600,0.009900,-0.009900,0,,,,0,1.31000,0.18000,-0.18000,0,Msini,1.01,0.19,-0.19,0
903,HIP 14810,d,3,981.80000000,6.90000000,-6.90000000,0,1.940000,0.130000,-0.130000,0,0.185000,0.035000,-0.035000,0,,,,0,0.59000,0.10000,-0.10000,0,Msini,1.01,0.19,-0.19,0
904,HIP 35173,b,1,41.51600000,0.07700000,-0.07700000,0,0.217000,0.004000,-0.004000,0,0.160000,0.110000,-0.110000,0,,,,0,0.03996,0.00850,-0.00850,0,Msini,0.79,0.05,-0.05,0
905,HIP 41378,b,5,15.57209800,0.00001800,-0.00001900,0,,,,0,,,,0,88.800,0.800,-1.400,0,,,,0,,1.17,0.07,-0.07,0
906,HIP 41378,c,5,31.70648000,0.00024000,-0.00019000,0,,,,0,,,,0,87.500,2.200,-1.400,0,,,,0,,1.17,0.07,-0.07,0
907,HIP 41378,d,5,1114.00000000,,,1,,,,0,,,,0,89.930,0.025,-0.018,0,,,,0,,1.17,0.07,-0.07,0
908,HIP 41378,e,5,,,,0,,,,0,,,,0,89.910,0.220,-0.045,0,,,,0,,1.17,0.07,-0.07,0
909,HIP 41378,f,5,1084.00000000,,,1,,,,0,,,,0,89.980,0.009,-0.006,0,,,,0,,1.17,0.07,-0.07,0
910,HIP 5158,b,2,345.72000000,5.37000000,-5.37000000,0,0.890000,,,0,0.520000,0.080000,-0.080000,0,,,,,1.42000,,,0,Msini,0.78,0.02,-0.02,0
911,HIP 5158,c,2,9017.76000000,3180.74000000,-3180.74000000,0,7.700000,1.880000,-1.880000,0,0.140000,0.100000,-0.100000,0,,,,,15.04000,10.55000,-10.55000,0,Msini,0.78,0.02,-0.02,0
912,HIP 54373,b,2,7.76000000,0.00300000,-0.00300000,0,0.063000,0.001000,-0.001000,0,0.200000,0.110000,-0.110000,0,,,,0,0.02712,0.00579,-0.00579,0,Msini,0.57,0.03,-0.03,0
913,HIP 54373,c,2,15.14400000,0.00800000,-0.00800000,0,0.099000,0.002000,-0.002000,0,0.200000,0.120000,-0.120000,0,,,,0,0.03914,0.00664,-0.00664,0,Msini,0.57,0.03,-0.03,0
914,HIP 57274,b,3,8.13520000,0.00400000,-0.00400000,0,0.070000,0.000000,0.000000,0,0.190000,0.100000,-0.100000,0,,,,0,0.02000,0.01000,-0.01000,0,Msini,0.29,0.30,-0.30,0
915,HIP 57274,c,3,32.03000000,0.02000000,-0.02000000,0,0.178000,,,0,0.050000,0.020000,-0.020000,0,,,,,0.40902,0.00944,-0.00944,0,Msini,0.29,0.30,-0.30,0
916,HIP 57274,d,3,431.70000000,8.50000000,-8.50000000,0,1.010000,,,0,0.270000,0.050000,-0.050000,0,,,,,0.52670,0.03000,-0.03000,0,Msini,0.29,0.30,-0.30,0
917,HIP 63242,b,1,124.60000000,,,0,0.565000,,,0,0.230000,,,0,,,,,9.18000,,,0,Msini,1.54,0.05,-0.05,0
918,HIP 65407,b,2,28.12500000,0.01900000,-0.01900000,0,0.177000,0.005000,-0.005000,0,0.140000,0.070000,-0.070000,0,,,,,0.42800,0.03200,-0.03200,0,Msini,0.93,0.07,-0.07,0
919,HIP 65407,c,2,67.30000000,0.08000000,-0.08000000,0,0.316000,0.008000,-0.008000,0,0.120000,0.040000,-0.040000,0,,,,,0.78400,0.05400,-0.05400,0,Msini,0.93,0.07,-0.07,0
920,HIP 65426,b,1,,,,0,92.000000,,,0,,,,0,,,,0,9.00000,3.00000,-3.00000,0,Mass,1.96,0.04,-0.04,0
921,HIP 65891,b,1,1084.50000000,23.20000000,-23.20000000,0,2.810000,0.090000,-0.090000,0,0.130000,0.050000,-0.050000,0,,,,,6.00000,0.49000,-0.49000,0,Msini,2.50,0.21,-0.21,0
922,HIP 67537,b,1,2556.50000000,99.20000000,-94.90000000,0,4.910000,0.140000,-0.130000,0,0.590000,0.050000,-0.020000,0,,,,,11.10000,0.40000,-1.10000,0,Msini,2.41,0.16,-0.16,0
923,HIP 67851,b,2,88.90000000,0.10000000,-0.10000000,0,0.460000,0.020000,-0.020000,0,0.050000,0.040000,-0.040000,0,,,,,1.38000,0.15000,-0.15000,0,Msini,1.63,0.22,-0.22,0
924,HIP 67851,c,2,2131.80000000,88.30000000,-88.30000000,0,3.820000,0.230000,-0.230000,0,0.170000,0.060000,-0.060000,0,,,,,5.98000,0.76000,-0.76000,0,Msini,1.63,0.22,-0.22,0
925,HIP 70849,b,1,17337.50000000,15512.50000000,-15512.50000000,0,20.250000,15.750000,-15.750000,0,0.715000,0.245000,-0.245000,0,,,,,9.00000,6.00000,-6.00000,0,Msini,0.63,0.03,-0.03,0
926,HIP 71135,b,1,87.19000000,0.38100000,-0.38100000,0,0.335000,0.007000,-0.007000,0,0.210000,0.130000,-0.130000,0,,,,0,0.05915,0.01290,-0.01290,0,Msini,0.66,0.04,-0.04,0
927,HIP 74890,b,1,822.30000000,16.80000000,-16.80000000,0,2.100000,0.090000,-0.090000,0,0.070000,0.070000,-0.070000,0,,,,,2.40000,0.30000,-0.30000,0,Msini,1.74,0.21,-0.21,0
928,HIP 78530,b,1,,,,,740.000000,60.000000,-60.000000,0,,,,,,,,,23.00000,1.00000,-1.00000,0,Mass,2.50,,,0
929,HIP 79098 AB,b,1,,,,0,345.000000,6.000000,-6.000000,0,,,,0,,,,0,20.50000,4.50000,-4.50000,0,Mass,3.75,1.25,-1.25,0
930,HIP 79431,b,1,111.70000000,0.70000000,-0.70000000,0,0.360000,,,0,0.290000,0.020000,-0.020000,0,,,,0,2.10000,,,0,Msini,0.42,,,0
931,HIP 8541,b,1,1560.20000000,53.90000000,-53.90000000,0,2.800000,0.250000,-0.250000,0,0.160000,0.060000,-0.060000,0,,,,,5.50000,1.00000,-1.00000,0,Msini,1.17,0.28,-0.28,0
932,HIP 91258,b,1,5.05050000,0.00150000,-0.00150000,0,0.060000,0.000000,0.000000,0,0.020000,0.010000,-0.010000,0,,,,0,1.09000,0.21000,-0.21000,0,Msini,0.97,0.28,-0.28,0
933,HIP 97233,b,1,1058.80000000,6.70000000,-6.70000000,0,2.550000,0.050000,-0.050000,0,0.610000,0.030000,-0.030000,0,,,,,20.00000,0.40000,-0.40000,0,Msini,1.93,0.11,-0.11,0
934,HN Peg,b,1,,,,,773.000000,13.000000,-13.000000,0,,,,,,,,,21.99870,9.42803,-9.42803,0,Mass,1.10,,,0
935,HR 2562,b,1,,,,,20.300000,0.300000,-0.300000,0,,,,,,,,,30.00000,15.00000,-15.00000,0,Mass,1.30,,,0
936,HR 5183,b,1,27000.00000000,16000.00000000,-8000.00000000,0,18.000000,6.000000,-4.000000,0,0.840000,0.040000,-0.040000,0,,,,0,3.23000,0.15000,-0.14000,0,Msini,1.07,0.04,-0.04,0
937,HR 810,b,1,302.79999000,2.30000000,-2.30000000,0,0.920000,0.020000,-0.020000,0,0.140000,0.130000,-0.130000,0,,,,0,2.27000,0.25000,-0.25000,0,Msini,1.34,0.13,-0.13,0
938,HR 858,b,3,3.58599000,0.00015000,-0.00015000,0,0.048000,0.001000,-0.001100,0,0.300000,,,1,85.500,1.500,-0.500,0,,,,0,,1.15,0.07,-0.08,0
939,HR 858,c,3,5.97293000,0.00060000,-0.00053000,0,0.067400,0.001400,-0.001600,0,0.190000,,,1,86.230,0.260,-0.260,0,,,,0,,1.15,0.07,-0.08,0
940,HR 858,d,3,11.23000000,0.00110000,-0.00100000,0,0.102700,0.002200,-0.002500,0,0.280000,,,1,87.430,0.180,-0.190,0,,,,0,,1.15,0.07,-0.08,0
941,HR 8799,b,4,170000.00000000,,,0,68.000000,,,0,,,,,,,,,7.00000,4.00000,-2.00000,0,Mass,,,,0
942,HR 8799,c,4,69000.00000000,,,0,38.000000,,,0,,,,,,,,,10.00000,3.00000,-3.00000,0,Mass,,,,0
943,HR 8799,d,4,37000.00000000,,,0,24.000000,,,0,,,,,,,,,10.00000,3.00000,-3.00000,0,Mass,,,,0
944,HR 8799,e,4,,,,0,16.400000,2.100000,-1.100000,0,0.150000,0.080000,-0.080000,0,25.000,8.000,-8.000,0,10.00000,7.00000,-4.00000,0,Mass,,,,0
945,HU Aqr,b,2,2390.00000000,4.00000000,-4.00000000,0,3.600000,0.800000,-0.800000,0,0.000000,,,0,90.000,,,0,5.90000,0.60000,-0.60000,0,Msin(i)/sin(i),0.88,,,0
946,HU Aqr,c,2,4368.00000000,515.00000000,-515.00000000,0,5.400000,0.900000,-0.900000,0,0.510000,0.150000,-0.150000,0,90.000,,,0,4.50000,0.50000,-0.50000,0,Msin(i)/sin(i),0.88,,,0
947,HW Vir,b,1,4640.00000000,70.00000000,-70.00000000,0,4.690000,0.060000,-0.060000,0,0.400000,0.100000,-0.100000,0,80.900,,,0,14.48228,1.01275,-1.01275,0,Msin(i)/sin(i),0.48,0.01,-0.01,0
948,IC 4651 9122,b,1,734.00000000,8.10000000,-8.10000000,0,2.038000,0.039000,-0.039000,0,0.180000,0.090000,-0.090000,0,,,,0,6.30000,0.50000,-0.50000,0,Msini,2.10,,,0
949,K2-10,b,1,19.30440000,0.00120000,-0.00120000,0,,,,,0.310000,0.160000,-0.180000,0,,,,,0.08495,0.05349,-0.05034,0,Mass,0.92,0.05,-0.05,0
