# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,
# Fri Apr  6 10:16:57 2018,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (pl_pnum >= 2,,,,,,,,,,,,,,,,
# CONSTRAINT:  ),,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass],,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass],,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass],,,,,,,,,,,,,,,,
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
loc_rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,st_mass,st_masserr1,st_masserr2,st_masslim
597,HD 37124,d,3,1862,38,-38,0,0.696,0.059,-0.059,0,Msini,0.85,,,0
598,HD 37605,b,2,55.01307,0.00064,-0.00064,0,2.802,0.011,-0.011,0,Msini,1,0.05,-0.05,0
599,HD 37605,c,2,2720,57,-57,0,3.366,0.072,-0.072,0,Msini,1,0.05,-0.05,0
601,HD 38529,b,2,14.3098,0.0005,-0.0005,0,0.839,0.03,-0.03,0,Msini,1.48,0.05,-0.05,0
602,HD 38529,c,2,2140.2,5.7,-5.7,0,13.38,0.39,-0.39,0,Msini,1.48,0.05,-0.05,0
605,HD 40307,b,5,4.3123,0.0011,-0.0012,0,0.0126,0.0025,-0.0022,0,Msini,0.77,0.05,-0.05,0
606,HD 40307,c,5,9.6184,0.005,-0.0049,0,0.0208,0.0035,-0.0031,0,Msini,0.77,0.05,-0.05,0
607,HD 40307,d,5,20.432,0.022,-0.024,0,0.0299,0.0053,-0.0047,0,Msini,0.77,0.05,-0.05,0
608,HD 40307,f,5,51.76,0.5,-0.46,0,0.0164,0.0047,-0.005,0,Msini,0.77,0.05,-0.05,0
609,HD 40307,g,5,197.8,5.7,-9,0,0.0223,0.0082,-0.0082,0,Msini,0.77,0.05,-0.05,0
616,HD 4203,b,2,437.05,0.27,-0.27,0,1.82,0.05,-0.05,0,Msini,1.13,,,0
617,HD 4203,c,2,6700,4500,-4500,0,2.17,0.52,-0.52,0,Msini,1.13,,,0
626,HD 45364,b,2,226.93,0.37,-0.37,0,0.1872,,,0,Msini,0.82,0.05,-0.05,0
627,HD 45364,c,2,342.85,0.28,-0.28,0,0.6579,,,0,Msini,0.82,0.05,-0.05,0
630,HD 47186,b,2,4.0845,0.0002,-0.0002,0,0.07167,,,0,Msini,0.99,,,0
631,HD 47186,c,2,1353.6,57.1,-57.1,0,0.35061,,,0,Msini,0.99,,,0
632,HD 4732,b,2,360.2,1.4,-1.4,0,2.37,0.34,-0.34,0,Msini,1.74,0.2,-0.14,0
633,HD 4732,c,2,2732,81,-81,0,2.37,0.38,-0.38,0,Msini,1.74,0.2,-0.14,0
640,HD 5319,b,2,641,2,-2,0,1.76,0.07,-0.07,0,Msini,1.51,0.11,-0.11,0
641,HD 5319,c,2,886,8,-8,0,1.15,0.08,-0.08,0,Msini,1.51,0.11,-0.11,0
647,HD 60532,b,2,201.9,0.3,-0.3,0,1.06,0.08,-0.08,0,Msini,1.5,0.09,-0.09,0
648,HD 60532,c,2,600.1,2.4,-2.4,0,2.51,0.16,-0.16,0,Msini,1.5,0.09,-0.09,0
653,HD 65216,b,2,572.4,2.1,-2.1,0,1.26,0.04,-0.04,0,Msini,0.92,,,0
654,HD 65216,c,2,152.6,0.6,-0.6,0,0.17,0.03,-0.03,0,Msini,0.92,,,0
657,HD 67087,b,2,352.2,1.7,-1.6,0,3.06,0.22,-0.2,0,Msini,1.36,0.04,-0.04,0
658,HD 67087,c,2,2374,193,-156,0,4.85,10,-3.61,0,Msini,1.36,0.04,-0.04,0
662,HD 69830,b,3,8.667,0.003,-0.003,0,0.0321,,,0,Msini,0.86,0.03,-0.03,0
663,HD 69830,c,3,31.56,0.04,-0.04,0,0.0371,,,0,Msini,0.86,0.03,-0.03,0
664,HD 69830,d,3,197,3,-3,0,0.057,,,0,Msini,0.86,0.03,-0.03,0
672,HD 73526,b,2,188.9,0.1,-0.1,0,2.25,0.12,-0.12,0,Msini,1.01,0.05,-0.05,0
673,HD 73526,c,2,379.1,0.5,-0.5,0,2.25,0.13,-0.13,0,Msini,1.01,0.05,-0.05,0
675,HD 74156,b,2,51.645,0.003,-0.003,0,1.8,0.06,-0.06,0,Msini,1.24,0.04,-0.04,0
676,HD 74156,c,2,2473,13,-13,0,8.06,0.37,-0.37,0,Msini,1.24,0.04,-0.04,0
684,HD 7924,b,3,5.39792,0.00025,-0.00025,0,0.02731,0.00164,-0.0016,0,Msini,0.83,0.02,-0.04,0
685,HD 7924,c,3,15.299,0.0032,-0.0033,0,0.02473,0.0023,-0.00223,0,Msini,0.83,0.02,-0.04,0
686,HD 7924,d,3,24.451,0.015,-0.017,0,0.02026,0.00249,-0.00245,0,Msini,0.83,0.02,-0.04,0
692,HD 82943,b,2,441.47,0.35,-0.35,0,1.681,0.028,-0.028,0,Mass,1.2,,,0
693,HD 82943,c,2,220.078,0.051,-0.051,0,1.959,0.047,-0.047,0,Mass,1.2,,,0
713,HD 9446,b,2,30.052,0.027,-0.027,0,0.7,0.06,-0.06,0,Msini,1,0.1,-0.1,0
714,HD 9446,c,2,192.9,0.9,-0.9,0,1.82,0.17,-0.17,0,Msini,1,0.1,-0.1,0
734,HIP 14810,b,3,6.673855,0.000019,-0.000019,0,3.88,0.32,-0.32,0,Msini,0.99,0.04,-0.04,0
735,HIP 14810,c,3,147.73,0.065,-0.065,0,1.28,0.1,-0.1,0,Msini,0.99,0.04,-0.04,0
736,HIP 14810,d,3,952,15,-15,0,0.57,0.052,-0.052,0,Msini,0.99,0.04,-0.04,0
737,HIP 41378,b,5,15.5712,0.0012,-0.0012,0,,,,,,1.15,0.06,-0.06,0
738,HIP 41378,c,5,31.6978,0.004,-0.004,0,,,,,,1.15,0.06,-0.06,0
739,HIP 41378,d,5,156,163,-78,0,,,,,,1.15,0.06,-0.06,0
740,HIP 41378,e,5,131,61,-36,0,,,,,,1.15,0.06,-0.06,0
741,HIP 41378,f,5,324,121,-126,0,,,,,,1.15,0.06,-0.06,0
742,HIP 5158,b,2,345.72,5.37,-5.37,0,1.42,,,0,Msini,0.78,0.02,-0.02,0
743,HIP 5158,c,2,9017.76,3180.74,-3180.74,0,15.04,10.55,-10.55,0,Msini,0.78,0.02,-0.02,0
744,HIP 57274,b,3,8.1352,0.004,-0.004,0,0.0365,0.00409,-0.00409,0,Msini,0.73,0.05,-0.05,0
745,HIP 57274,c,3,32.03,0.02,-0.02,0,0.40902,0.00944,-0.00944,0,Msini,0.73,0.05,-0.05,0
746,HIP 57274,d,3,431.7,8.5,-8.5,0,0.5267,0.03,-0.03,0,Msini,0.73,0.05,-0.05,0
748,HIP 65407,b,2,28.125,0.019,-0.019,0,0.428,0.032,-0.032,0,Msini,0.93,0.07,-0.07,0
749,HIP 65407,c,2,67.3,0.08,-0.08,0,0.784,0.054,-0.054,0,Msini,0.93,0.07,-0.07,0
753,HIP 67851,b,2,88.9,0.1,-0.1,0,1.38,0.15,-0.15,0,Msini,1.63,0.22,-0.22,0
754,HIP 67851,c,2,2131.8,88.3,-88.3,0,5.98,0.76,-0.76,0,Msini,1.63,0.22,-0.22,0
766,HR 8799,b,4,170000,,,0,7,4,-2,0,Mass,1.51,0.04,-0.02,0
767,HR 8799,c,4,69000,,,0,10,3,-3,0,Mass,1.51,0.04,-0.02,0
768,HR 8799,d,4,37000,,,0,10,3,-3,0,Mass,1.51,0.04,-0.02,0
769,HR 8799,e,4,18000,,,0,,,,,,1.51,0.04,-0.02,0
785,K2-117,b,2,1.291505,0.00004,-0.00004,0,,,,0,,0.58,0.06,-0.06,0
786,K2-117,c,2,5.44482,0.000397,-0.000417,0,,,,0,,0.58,0.06,-0.06,0
804,K2-133,b,3,3.0712,0.0001,-0.0001,0,,,,0,,0.51,0.03,-0.03,0
805,K2-133,c,3,4.8682,0.0001,-0.0003,0,,,,0,,0.51,0.03,-0.03,0
806,K2-133,d,3,11.0234,0.0008,-0.0003,0,,,,0,,0.51,0.03,-0.03,0
807,K2-136,b,3,7.975292,0.000833,-0.00077,0,,,,0,,0.74,0.02,-0.02,0
808,K2-136,c,3,17.307137,0.000252,-0.000284,0,,,,0,,0.74,0.02,-0.02,0
809,K2-136,d,3,25.575065,0.002418,-0.002357,0,,,,0,,0.74,0.02,-0.02,0
811,K2-138,b,5,2.35322,0.00036,-0.00036,0,,,,0,,0.93,0.06,-0.06,0
812,K2-138,c,5,3.55987,0.00023,-0.00022,0,,,,0,,0.93,0.06,-0.06,0
813,K2-138,d,5,5.40478,0.00048,-0.00046,0,,,,0,,0.93,0.06,-0.06,0
814,K2-138,e,5,8.26144,0.00045,-0.00044,0,,,,0,,0.93,0.06,-0.06,0
815,K2-138,f,5,12.75759,0.00092,-0.00092,0,,,,0,,0.93,0.06,-0.06,0
819,K2-141,b,2,0.2803244,0.0000015,-0.0000015,0,0.01598,0.00129,-0.00129,0,Mass,0.71,0.03,-0.03,0
820,K2-141,c,2,7.7485,0.00022,-0.00022,0,0.02328,,,1,Mass,0.71,0.03,-0.03,0
823,K2-148,b,3,4.38395,0.0008,-0.0008,0,,,,0,,0.65,0.06,-0.06,0
824,K2-148,c,3,6.9226,0.0007,-0.0007,0,,,,0,,0.65,0.06,-0.06,0
825,K2-148,d,3,9.7579,0.001,-0.001,0,,,,0,,0.65,0.06,-0.06,0
832,K2-154,b,2,3.67635,0.00017,-0.00017,0,,,,0,,0.67,0.06,-0.06,0
833,K2-154,c,2,7.95478,0.00063,-0.00063,0,,,,0,,0.67,0.06,-0.06,0
834,K2-155,b,3,6.34365,0.00028,-0.00028,0,,,,0,,0.54,0.06,-0.06,0
835,K2-155,c,3,13.85402,0.00088,-0.00088,0,,,,0,,0.54,0.06,-0.06,0
836,K2-155,d,3,40.6835,0.0031,-0.0031,0,,,,0,,0.54,0.06,-0.06,0
841,K2-16,b,2,7.6188,0.00087,-0.00087,0,,,,,,0.68,0.03,-0.03,0
842,K2-16,c,2,19.07863,0.00327,-0.00327,0,,,,,,0.68,0.03,-0.03,0
848,K2-165,b,3,2.354992,0.000246,-0.000261,0,,,,,,0.83,0.03,-0.03,0
849,K2-165,c,3,4.382745,0.000514,-0.000536,0,,,,,,0.83,0.03,-0.03,0
850,K2-165,d,3,14.101361,0.001146,-0.001065,0,,,,,,0.83,0.03,-0.03,0
856,K2-170,b,2,7.576544,0.001841,-0.00169,0,,,,,,0.96,0.03,-0.03,0
857,K2-170,c,2,12.400047,0.001735,-0.001883,0,,,,,,0.96,0.03,-0.03,0
859,K2-172,b,2,14.316941,0.001445,-0.001411,0,,,,,,0.93,0.03,-0.03,0
860,K2-172,c,2,29.62682,0.001555,-0.001607,0,,,,,,0.93,0.03,-0.03,0
868,K2-18,b,2,32.93963,0.0001,-0.0001,0,0.02504,0.00601,-0.00601,0,Mass,0.36,0.05,-0.05,0
869,K2-18,c,2,8.962,0.008,-0.008,0,0.02363,0.00418,-0.00418,0,Msini,0.36,0.05,-0.05,0
873,K2-183,b,3,0.469269,0.000026,-0.000024,0,,,,,,0.94,0.02,-0.02,0
874,K2-183,c,3,10.793471,0.000803,-0.00073,0,,,,,,0.94,0.02,-0.02,0
875,K2-183,d,3,22.629496,0.001755,-0.001949,0,,,,,,0.94,0.02,-0.02,0
879,K2-187,b,4,0.773981,0.000052,-0.00005,0,,,,,,0.97,0.03,-0.02,0
880,K2-187,c,4,2.871788,0.000256,-0.000257,0,,,,,,0.97,0.03,-0.02,0
881,K2-187,d,4,7.149079,0.00036,-0.000372,0,,,,,,0.97,0.03,-0.02,0
882,K2-187,e,4,13.608341,0.001661,-0.00158,0,,,,,,0.97,0.03,-0.02,0
883,K2-188,b,2,1.742983,0.000256,-0.00026,0,,,,,,1.11,0.03,-0.02,0
884,K2-188,c,2,7.807595,0.000564,-0.000597,0,,,,,,1.11,0.03,-0.02,0
885,K2-189,b,2,5.1763,0.000407,-0.000428,0,,,,,,0.93,0.02,-0.03,0
886,K2-189,c,2,6.67934,0.000245,-0.000236,0,,,,,,0.93,0.02,-0.03,0
887,K2-19,b,3,7.9194,0.00005,-0.00005,0,,,,,,0.93,0.05,-0.05,0
888,K2-19,c,3,11.90715,0.0015,-0.0015,0,,,,,,0.93,0.05,-0.05,0
889,K2-19,d,3,2.50856,0.00041,-0.00041,0,,,,,,0.93,0.05,-0.05,0
890,K2-190,b,2,10.098858,0.000619,-0.000643,0,,,,,,0.9,0.03,-0.04,0
891,K2-190,c,2,21.574023,0.00573,-0.004302,0,,,,,,0.9,0.03,-0.04,0
896,K2-195,b,2,15.853543,0.000791,-0.000754,0,,,,,,0.96,0.03,-0.03,0
897,K2-195,c,2,28.482786,0.006439,-0.00731,0,,,,,,0.96,0.03,-0.03,0
901,K2-199,b,2,3.225423,0.000067,-0.000071,0,,,,,,0.71,0.02,-0.02,0
902,K2-199,c,2,7.374497,0.000118,-0.000125,0,,,,,,0.71,0.02,-0.02,0
904,K2-201,b,2,1.05979,0.000043,-0.000044,0,,,,,,0.96,0.02,-0.02,0
905,K2-201,c,2,22.779878,0.001957,-0.001947,0,,,,,,0.96,0.02,-0.02,0
914,K2-21,b,2,9.325038,0.000379,-0.000403,0,,,,0,,0.68,0.07,-0.07,0
915,K2-21,c,2,15.50192,0.000918,-0.000928,0,,,,0,,0.68,0.07,-0.07,0
925,K2-219,b,3,3.901287,0.00066,-0.000677,0,,,,,,1.02,0.03,-0.03,0
926,K2-219,c,3,6.66767,0.001283,-0.001569,0,,,,,,1.02,0.03,-0.03,0
927,K2-219,d,3,11.137278,0.000808,-0.000786,0,,,,,,1.02,0.03,-0.03,0
932,K2-223,b,2,0.50557,0.000037,-0.000036,0,,,,,,1.07,0.03,-0.03,0
933,K2-223,c,2,4.564169,0.000282,-0.000299,0,,,,,,1.07,0.03,-0.03,0
939,K2-229,b,2,0.584249,0.000014,-0.000014,0,0.00815,0.00135,-0.00135,0,Mass,0.84,0.02,-0.03,0
940,K2-229,c,2,8.32834,0.00045,-0.00045,0,0.06702,,,1,Mass,0.84,0.02,-0.03,0
942,K2-24,b,2,20.88508,0.00036,-0.00036,0,,,,,,1.12,0.06,-0.06,0
943,K2-24,c,2,42.36342,0.00063,-0.00063,0,,,,,,1.12,0.06,-0.06,0
949,K2-3,b,3,10.05449,0.00026,-0.00026,0,,,,,,0.6,0.09,-0.09,0
950,K2-3,c,3,24.64354,0.00117,-0.00117,0,,,,,,0.6,0.09,-0.09,0
951,K2-3,d,3,44.55983,0.0059,-0.0059,0,,,,,,0.6,0.09,-0.09,0
954,K2-32,b,3,8.99213,0.00016,-0.00016,0,0.05191,0.0085,-0.0085,0,Mass,0.86,0.03,-0.03,0
955,K2-32,c,3,20.6602,0.0017,-0.0017,0,0.03807,,,1,Mass,0.86,0.03,-0.03,0
956,K2-32,d,3,31.7154,0.0022,-0.0022,0,0.03241,0.01479,-0.01479,0,Mass,0.86,0.03,-0.03,0
959,K2-35,b,2,5.608352,0.000335,-0.000338,0,,,,0,,0.7,0.07,-0.07,0
960,K2-35,c,2,2.399964,0.000198,-0.000204,0,,,,0,,0.7,0.07,-0.07,0
961,K2-36,b,2,1.42266,0.00005,-0.00005,0,,,,,,0.8,0.04,-0.04,0
962,K2-36,c,2,5.34059,0.0001,-0.0001,0,,,,,,0.8,0.04,-0.04,0
963,K2-37,b,3,4.44117,0.00075,-0.00075,0,,,,,,0.9,0.05,-0.05,0
964,K2-37,c,3,6.42904,0.00036,-0.00036,0,,,,,,0.9,0.05,-0.05,0
965,K2-37,d,3,14.09189,0.00135,-0.00135,0,,,,,,0.9,0.05,-0.05,0
966,K2-38,b,2,4.01593,0.0005,-0.0005,0,0.03776,0.00912,-0.00912,0,Mass,1.07,0.05,-0.05,0
967,K2-38,c,2,10.56103,0.0009,-0.0009,0,0.03115,0.01447,-0.01447,0,Mass,1.07,0.05,-0.05,0
978,K2-5,b,2,5.73594,0.00064,-0.00064,0,,,,,,0.61,0.13,-0.13,0
979,K2-5,c,2,10.93241,0.00134,-0.00134,0,,,,,,0.61,0.13,-0.13,0
986,K2-58,b,3,7.05254,0.00032,-0.00032,0,,,,,,0.89,0.08,-0.08,0
987,K2-58,c,3,2.53726,0.00017,-0.00017,0,,,,,,0.89,0.08,-0.08,0
988,K2-58,d,3,22.8827,0.004,-0.004,0,,,,,,0.89,0.08,-0.08,0
989,K2-59,b,2,20.6921,0.0033,-0.0033,0,,,,,,0.77,0.07,-0.07,0
990,K2-59,c,2,11.2954,0.001,-0.001,0,,,,,,0.77,0.07,-0.07,0
994,K2-62,b,2,6.67202,0.00028,-0.00028,0,,,,,,0.77,0.05,-0.05,0
995,K2-62,c,2,16.1966,0.0012,-0.0012,0,,,,,,0.77,0.05,-0.05,0
1005,K2-72,b,4,5.577212,0.000417,-0.000419,0,,,,0,,0.27,0.08,-0.09,0
1006,K2-72,c,4,15.189034,0.003128,-0.003149,0,,,,0,,0.27,0.08,-0.09,0
1007,K2-72,d,4,7.760178,0.001496,-0.001496,0,,,,0,,0.27,0.08,-0.09,0
1008,K2-72,e,4,24.158868,0.003726,-0.00385,0,,,,0,,0.27,0.08,-0.09,0
1011,K2-75,b,2,7.8142,0.0021,-0.0021,0,,,,,,1.16,0.06,-0.06,0
1012,K2-75,c,2,18.311,0.014,-0.014,0,,,,,,1.16,0.06,-0.06,0
1015,K2-8,b,2,10.35239,0.00086,-0.00086,0,,,,,,0.78,0.04,-0.04,0
1016,K2-8,c,2,5.06416,0.00041,-0.00041,0,,,,,,0.78,0.04,-0.04,0
1017,K2-80,d,3,28.867253,0.00514,-0.004625,0,,,,,,0.9,0.08,-0.08,0
1018,K2-80,b,3,19.0918,0.0064,-0.0064,0,,,,,,0.9,0.08,-0.08,0
1019,K2-80,c,3,5.605,0.0011,-0.0011,0,,,,,,0.9,0.08,-0.08,0
1021,K2-83,b,2,2.74697,0.00018,-0.00018,0,,,,,,0.48,0.02,-0.02,0
1022,K2-83,c,2,9.99767,0.00081,-0.00081,0,,,,,,0.48,0.02,-0.02,0
1023,K2-84,b,2,6.4215,0.00056,-0.00056,0,,,,,,0.95,0.07,-0.07,0
1024,K2-84,c,2,27.86,0.0052,-0.0052,0,,,,,,0.95,0.07,-0.07,0
1031,K2-90,b,2,13.734907,0.000798,-0.000802,0,,,,0,,0.7,0.07,-0.07,0
1032,K2-90,c,2,2.900706,0.000331,-0.000319,0,,,,0,,0.7,0.07,-0.07,0
1053,KELT-6,b,2,7.8455821,0.000007,-0.000007,0,0.442,0.019,-0.019,0,Msin(i)/sin(i),1.13,0.06,-0.06,0
1054,KELT-6,c,2,1276,81,-67,0,3.71,0.21,-0.21,0,Msini,1.13,0.06,-0.06,0
1058,KIC 10001893,b,3,0.2197,,,0,,,,,,,,,
1059,KIC 10001893,c,3,0.32528,,,0,,,,,,,,,
1060,KIC 10001893,d,3,0.81161,,,0,,,,,,,,,
1063,KIC 5437945,b,2,440.7813,0.00563,-0.00577,0,,,,,,1.07,0.17,-0.17,0
1066,KOI-7892,b,2,31.8099,0.00919,-0.00933,0,,,,,,1.04,0.2,-0.2,0
1067,KOI-7892,c,2,75.2,38.9,-1.1,0,,,,,,1.04,0.2,-0.2,0
1068,KIC 9663113,b,2,572.3847,0.00583,-0.00567,0,,,,,,0.98,0.13,-0.13,0
1072,KOI-142,b,2,10.95416,0.00011,-0.00013,0,0.027,0.008,-0.008,0,Mass,0.96,0.04,-0.05,0
1073,KOI-142,c,2,22.3395,0.0019,-0.0017,0,0.626,0.029,-0.033,0,Mass,0.96,0.04,-0.05,0
1075,KOI-351,b,8,7.008151,0.000019,-0.000019,0,,,,,,1.2,0.1,-0.1,0
1076,KOI-351,c,8,8.719375,0.000027,-0.000027,0,,,,,,1.2,0.1,-0.1,0
1077,KOI-351,d,8,59.73667,0.00038,-0.00038,0,,,,,,1.2,0.1,-0.1,0
1078,KOI-351,e,8,91.93913,0.00073,-0.00073,0,,,,,,1.2,0.1,-0.1,0
1079,KOI-351,f,8,124.9144,0.0019,-0.0019,0,,,,,,1.2,0.1,-0.1,0
1080,KOI-351,g,8,210.60697,0.00043,-0.00043,,,,,,,1.2,0.1,-0.1,0
1081,KOI-351,h,8,331.60059,0.00037,-0.00037,0,,,,,,1.2,0.1,-0.1,0
1082,KOI-351,i,8,14.44912,0.0002,-0.0002,0,,,,0,,1.2,0.1,-0.1,0
1083,KOI-55,b,2,0.240104,0.000004,-0.000004,0,0.0014,,,0,Mass,0.5,0,0,0
1084,KOI-55,c,2,0.342887,0.000013,-0.000013,0,0.0021,,,0,Mass,0.5,0,0,0
1085,KOI-94,b,4,3.743208,0.000015,-0.000015,0,0.033,0.014,-0.014,0,Mass,1.28,0.05,-0.05,0
1086,KOI-94,c,4,10.423648,0.000016,-0.000016,0,0.049,0.018,-0.049,0,Mass,1.28,0.05,-0.05,0
1087,KOI-94,d,4,22.342989,0.0000067,-0.0000067,0,0.334,0.035,-0.035,0,Mass,1.28,0.05,-0.05,0
1088,KOI-94,e,4,54.32031,0.00012,-0.00012,0,0.11,0.057,-0.088,0,Mass,1.28,0.05,-0.05,0
1090,Kepler-10,b,2,0.837491,0.000002,-0.000002,0,0.0145,0.004,-0.0046,0,Mass,0.91,0.02,-0.02,0
1091,Kepler-10,c,2,45.294301,0.000048,-0.000048,0,0.054,0.006,-0.006,0,Mass,0.91,0.02,-0.02,0
1092,Kepler-100,b,3,6.88705,,,0,0.023,0.01,-0.01,0,Mass,1.08,0.06,-0.06,0
1093,Kepler-100,c,3,12.8159,,,0,,,,,,1.08,0.06,-0.06,0
1094,Kepler-100,d,3,35.3331,,,0,,,,,,1.08,0.06,-0.06,0
1105,Kepler-101,b,2,3.4876812,0.000007,-0.000007,0,0.16,0.02,-0.01,0,Mass,1.17,0.07,-0.05,0
1106,Kepler-101,c,2,6.02976,0.000075,-0.000075,0,0.01,,,1,Mass,1.17,0.07,-0.05,0
1113,Kepler-1016,b,2,1.95452434,0.00000331,-0.00000331,0,,,,,,0.99,0.08,-0.07,0
1114,Kepler-1016,c,2,105.6551369,0.0005452,-0.0005452,0,,,,,,0.99,0.08,-0.07,0
1118,Kepler-102,b,5,5.28696,,,0,,,,,,0.81,0.04,-0.09,0
1119,Kepler-102,c,5,7.07142,,,0,,,,,,0.81,0.04,-0.09,0
1120,Kepler-102,d,5,10.3117,,,0,0.012,0.006,-0.006,0,Mass,0.81,0.04,-0.09,0
1121,Kepler-102,e,5,16.1457,,,0,0.028,0.006,-0.006,0,Mass,0.81,0.04,-0.09,0
1122,Kepler-102,f,5,27.4536,,,0,,,,,,0.81,0.04,-0.09,0
1133,Kepler-103,b,2,15.9654,,,0,0.031,0.027,-0.027,0,Mass,1.09,0.07,-0.07,0
1134,Kepler-103,c,2,179.612,,,0,0.114,0.079,-0.079,0,Mass,1.09,0.07,-0.07,0
1145,Kepler-104,b,3,11.427548,0.000015,-0.000015,0,,,,,,0.81,,,0
1146,Kepler-104,c,3,23.668205,0.000056,-0.000056,0,,,,,,0.81,,,0
1147,Kepler-104,d,3,51.755394,0.00016,-0.00016,0,,,,,,0.81,,,0
1155,Kepler-1047,b,2,56.1886887,0.0002756,-0.0002756,0,,,,,,1.08,0.05,-0.04,0
1156,Kepler-1047,c,2,3.18897601,0.00002038,-0.00002038,0,,,,,,1.08,0.05,-0.04,0
1159,Kepler-105,b,2,5.4122,0.00002,-0.00002,0,,,,,,0.96,0.05,-0.05,0
1160,Kepler-105,c,2,7.1262,0.0002,-0.0002,0,0.01447,0.00289,-0.00267,0,Mass,0.96,0.05,-0.05,0
1161,Kepler-1050,b,2,15.3787546,0.00006915,-0.00006915,0,,,,,,1.09,0.08,-0.07,0
1162,Kepler-1050,c,2,21.1284569,0.000112,-0.000112,0,,,,,,1.09,0.08,-0.07,0
1172,Kepler-106,b,4,6.16486,,,0,,,,,,1,0.06,-0.06,0
1173,Kepler-106,c,4,13.5708,,,0,0.033,0.01,-0.01,0,Mass,1,0.06,-0.06,0
1174,Kepler-106,d,4,23.9802,,,0,,,,,,1,0.06,-0.06,0
1175,Kepler-106,e,4,43.8445,,,0,0.035,0.018,-0.018,0,Mass,1,0.06,-0.06,0
1181,Kepler-1065,b,2,3.60930891,0.0000051,-0.0000051,0,,,,,,0.94,0.07,-0.06,0
1182,Kepler-1065,c,2,2.37030743,0.00001691,-0.00001691,0,,,,,,0.94,0.07,-0.06,0
1187,Kepler-107,b,4,3.179997,0.000011,-0.000011,0,,,,,,,,,
1188,Kepler-107,c,4,4.901425,0.000016,-0.000016,0,,,,,,,,,
1189,Kepler-107,d,4,7.958203,0.000104,-0.000104,0,,,,,,,,,
1190,Kepler-107,e,4,14.749049,0.000034,-0.000034,0,,,,,,,,,
1194,Kepler-1073,b,2,8.67888593,0.00002409,-0.00002409,0,,,,,,1,0.1,-0.07,0
1195,Kepler-1073,c,2,4.02582254,0.00001484,-0.00001484,0,,,,,,1,0.1,-0.07,0
1202,Kepler-108,b,2,49.183921,0.000054,-0.000054,0,,,,,,0.87,,,0
1203,Kepler-108,c,2,190.323494,0.000988,-0.000988,0,,,,,,0.87,,,0
1210,Kepler-1086,b,2,18.78425728,0.00005283,-0.00005283,0,,,,,,0.7,0.02,-0.03,0
1211,Kepler-1086,c,2,161.5163345,0.0008629,-0.0008629,0,,,,,,0.7,0.02,-0.03,0
1215,Kepler-109,b,2,6.48163,,,0,,,,,,1.04,0.06,-0.06,0
1216,Kepler-109,c,2,21.2227,,,0,,,,,,1.04,0.06,-0.06,0
1220,Kepler-1093,b,2,25.0824626,0.0001211,-0.0001211,0,,,,,,1.13,0.14,-0.09,0
1221,Kepler-1093,c,2,89.722292,0.00108,-0.00108,0,,,,,,1.13,0.14,-0.09,0
1228,Kepler-11,b,6,10.3039,0.0006,-0.001,0,0.006,0.004,-0.003,0,Mass,0.96,0.03,-0.03,0
1229,Kepler-11,c,6,13.0241,0.0013,-0.0008,0,0.009,0.009,-0.005,0,Mass,0.96,0.03,-0.03,0
1230,Kepler-11,d,6,22.6845,0.0009,-0.0009,0,0.023,0.003,-0.005,0,Mass,0.96,0.03,-0.03,0
